CO_MANTENEDORA;GRUPO;NO_MANTENEDORA_REF;OBS
981;UNINTER;UNINTER EDUCACIONAL S/A;Grupo proprio - solicitado
2415;UNIP;ASSUPERO ENSINO SUPERIOR LTDA.;Grupo proprio - solicitado (12 IES sob a mesma mantenedora da UNIP)
222;UNINOVE;ASSOCIACAO EDUCACIONAL NOVE DE JULHO;Grupo proprio - solicitado (6 IES)
3040;UNIFATECIE;CENTRO EDUCACIONAL FATECIE LTDA;Independente relevante
262;FMU;FACULDADES METROPOLITANAS UNIDAS EDUCACIONAIS LTDA.;Independente relevante (FMU + FIAM-FAAM)
2417;UNIFACVEST;SOCIEDADE DE EDUCACAO N.S. AUXILIADORA LTDA;Independente relevante
519;Uniplan;ASSOBES ENSINO SUPERIOR LTDA.;Independente relevante (8 IES - Uniplan / Uni Goiania)
2306;UniCV;UNIAO MARINGAENSE DE ENSINO LTDA - EPP;Independente relevante
1416;Fametro (AM);IME INSTITUTO METROPOLITANO DE ENSINO LTDA;Independente relevante - nao confundir com Unifametro (CE)
121;Veiga de Almeida;ANTARES EDUCACIONAL S.A.;Independente relevante
103;Uniube;SOCIEDADE EDUCACIONAL UBERABENSE;Independente relevante
862;FAM - Americas;SOCIEDADE EDUCACIONAL DAS AMERICAS S.A.;Independente relevante
488;Unisa;OBRAS SOCIAIS E EDUCACIONAIS DE LUZ;Independente relevante
15868;Unifecaf;FEDERAL EDUCACIONAL LTDA.;Independente relevante
435;Universo;ASSOCIACAO SALGADO DE OLIVEIRA DE EDUCACAO E CULTURA;Independente relevante
15048;Universo;UNINPE - UNIVERSO INTERATIVO PROGRAMAS EDUCACIONAIS;Mesma marca Universo
199;UniSUAM;SOCIEDADE UNIFICADA DE ENSINO AUGUSTO MOTTA;Independente relevante
945;Uninga;UNIDADE DE ENSINO SUPERIOR INGA LTDA;Independente relevante
18437;Gran;GRAN CENTRO UNIVERSITARIO LTDA.;Independente relevante - 97% EAD
1085;UniGrande;CEUDESP EDUCACIONAL LTDA;Independente relevante - 94% EAD
18192;UniAmerica Descomplica;AIUA EDUCACIONAL LTDA;Independente relevante - 90% EAD
363;Celso Lisboa;INSTITUTO SUPERIOR DE ENSINO CELSO LISBOA;Independente relevante
1564;UniFTC;INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME;Independente relevante
16093;UniFTC;ORGANIZACAO TECNOLOGICA DE ENSINO LTDA;Mesma marca FTC
445;Unigran;UNIGRAN EDUCACIONAL;Independente relevante
274;Tiradentes;SOCIEDADE DE EDUCACAO TIRADENTES S.A;Independente relevante (Unit)
305;Unipar;UNIPAR - SOCIEDADE EMPRESARIAL LTDA.;Independente relevante
15213;Multivix;MULTIVIX SERRA - ENSINO PESQUISA E EXTENSAO LTDA;Marca Multivix espalhada em 7 mantenedoras
832;Multivix;EMPRESA BRASILEIRA DE ENSINO PESQUISA E EXTENSAO S/A;Marca Multivix
16177;Multivix;MULTIVIX VILA VELHA - ENSINO, PESQUISA E EXTENSAO;Marca Multivix
1654;Multivix;MULTIVIX CARIACICA - ENSINO, PESQUISA E EXTENSAO;Marca Multivix
833;Multivix;MULTIVIX CACHOEIRO ENSINO, PESQUISA E EXTENSAO;Marca Multivix
2923;Multivix;MULTIVIX NOVA VENECIA - ENSINO, PESQUISA E EXTENSAO;Marca Multivix
3237;Multivix;MULTIVIX SAO MATEUS - ENSINO PESQUISA E EXTENSAO;Marca Multivix
236;PUC Minas;SOCIEDADE MINEIRA DE CULTURA;Confessional - relevante como concorrente
10;PUCPR;ASSOCIACAO PARANAENSE DE CULTURA - APC;Confessional
22;Mackenzie;INSTITUTO PRESBITERIANO MACKENZIE;Confessional
278;Catolica (UBEC);UNIAO BRASILEIRA DE EDUCACAO CATOLICA;Confessional (UCB e Catolicas)
14;Unicap;ASSOCIACAO ANTONIO VIEIRA;Confessional
442;USF;CASA DE NOSSA SENHORA DA PAZ ACAO SOCIAL FRANCISCANA;Confessional
1390;UNINTA;ASSOCIACAO IGREJA ADVENTISTA MISSIONARIA - AIAMIS;Confessional
16444;UNINTA;INSTITUTO SUPERIOR DE EDUCACAO DE ITAPIPOCA;Mesma marca UNINTA
314;Ulbra;AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A.;Confessional - em recuperacao judicial
386;Unifor;FUNDACAO EDSON QUEIROZ;Comunitaria
543;SENAC;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC;Sistema S
