CO_IES;NO_IES;SG_IES;GRUPO;GRUPO_CONSOLIDADO;MARCA;ORIGEM_GRUPO;ABA;CO_MANTENEDORA;NO_MANTENEDORA;TP_REDE;TP_CATEGORIA_ADMINISTRATIVA;TP_ORGANIZACAO_ACADEMICA;SG_UF_IES;NO_MUNICIPIO_IES;QT_MAT_TOTAL;QT_MAT_PRESENCIAL;QT_MAT_EAD;QT_ING;QT_CONC;QT_TRANCADA;QT_BASE_ALUNOS;QT_CURSOS;QT_MUNIC_PRESENCIAL;QT_MUNIC_EAD;NO_IES_SUPORTE
18165;Fundação Universidade Virtual do Estado de São Paulo;UNIVESP;;;;;;15958;FUNDACAO UNIVERSIDADE VIRTUAL DO ESTADO DE SAO PAULO-UNIVESP;1;2;1;SP;São Paulo;69717.0;0.0;69717.0;34221.0;4575.0;9496.0;79213.0;11.0;0;373;
55;UNIVERSIDADE DE SÃO PAULO;USP;;;;;;15715;UNIVERSIDADE DE SAO PAULO;1;2;1;SP;São Paulo;62173.0;62173.0;0.0;11751.0;9059.0;1349.0;63522.0;271.0;7;0;
586;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;;;;;;15536;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;1;1;1;RJ;Rio de Janeiro;50105.0;47077.0;3028.0;11159.0;6249.0;6733.0;56838.0;174.0;3;14;
572;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;;;;;;15589;UNIVERSIDADE FEDERAL FLUMINENSE;1;1;1;RJ;Niterói;43774.0;37162.0;6612.0;12159.0;5358.0;22776.0;66550.0;133.0;9;29;
2;UNIVERSIDADE DE BRASÍLIA;UNB;;;;;;2;FUNDACAO UNIVERSIDADE DE BRASILIA;1;1;1;DF;Brasília;39509.0;38523.0;986.0;7222.0;4660.0;1834.0;41343.0;130.0;1;27;
548;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;;;;;;2497;FUNDACAO UNIVERSIDADE FEDERAL DO MARANHAO;1;1;1;MA;São Luís;37212.0;32038.0;5174.0;5661.0;3071.0;1422.0;38634.0;109.0;9;33;
569;UNIVERSIDADE FEDERAL DO PARÁ;UFPA;;;;;;15509;UNIVERSIDADE FEDERAL DO PARA;1;1;1;PA;Belém;36068.0;34312.0;1756.0;7459.0;4477.0;15589.0;51657.0;157.0;11;1;
56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;;;;;;17109;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;1;2;1;SP;São Paulo;35169.0;34714.0;455.0;7173.0;5851.0;952.0;36121.0;184.0;24;1;
575;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;;;;;;15515;UNIVERSIDADE FEDERAL DE MINAS GERAIS;1;1;1;MG;Belo Horizonte;33909.0;33893.0;16.0;7817.0;4942.0;1695.0;35604.0;98.0;2;1;
547;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;;;;;;379;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;1;2;1;RJ;Rio de Janeiro;33636.0;30088.0;3548.0;7242.0;3222.0;4650.0;38286.0;104.0;7;17;
580;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;;;;;;15538;UNIVERSIDADE FEDERAL DE PERNAMBUCO;1;1;1;PE;Recife;31142.0;30251.0;891.0;6864.0;3716.0;917.0;32059.0;113.0;3;16;
570;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;;;;;;13401;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;1;1;1;RN;Natal;30420.0;28965.0;1455.0;7756.0;4130.0;2611.0;33031.0;120.0;5;13;
578;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;;;;;;15594;UNIVERSIDADE FEDERAL DA BAHIA;1;1;1;BA;Salvador;29457.0;28061.0;1396.0;7632.0;3643.0;7395.0;36852.0;110.0;3;30;
571;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;;;;;;15595;UNIVERSIDADE FEDERAL DO PARANA;1;1;1;PR;Curitiba;28197.0;27626.0;571.0;7317.0;3565.0;1575.0;29772.0;142.0;6;1;
579;UNIVERSIDADE FEDERAL DA PARAÍBA;UFPB;;;;;;15590;UNIVERSIDADE FEDERAL DA PARAIBA;1;1;1;PB;João Pessoa;27958.0;27376.0;582.0;6547.0;3086.0;8485.0;36443.0;120.0;6;21;
581;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;;;;;;13482;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;1;1;1;RS;Porto Alegre;27917.0;27642.0;275.0;6143.0;2968.0;4697.0;32614.0;98.0;3;16;
583;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;;;;;;15439;UNIVERSIDADE FEDERAL DO CEARA;1;1;1;CE;Fortaleza;27780.0;27401.0;379.0;6744.0;3871.0;521.0;28301.0;127.0;6;18;
588;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;;;;;;9052;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;1;1;1;PR;Curitiba;27658.0;27146.0;512.0;7393.0;3060.0;3607.0;31265.0;124.0;13;1;
694;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;;;;;;462;FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;1;1;1;MS;Campo Grande;26636.0;19191.0;7445.0;10148.0;2699.0;1466.0;28102.0;134.0;10;15;
585;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;;;;;;15593;UNIVERSIDADE FEDERAL DE SANTA CATARINA;1;1;1;SC;Florianópolis;26458.0;25403.0;1055.0;6849.0;3378.0;1822.0;28280.0;116.0;5;23;
577;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;;;;;;15601;UNIVERSIDADE FEDERAL DE ALAGOAS;1;1;1;AL;Maceió;23894.0;23216.0;678.0;5973.0;3187.0;638.0;24532.0;100.0;8;10;
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;;;;;;3;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;1;1;1;SE;São Cristóvão;23216.0;21647.0;1569.0;7126.0;2779.0;1165.0;24381.0;115.0;6;12;
573;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;;;;;;15591;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;1;1;1;ES;Vitória;22847.0;21333.0;1514.0;5865.0;3031.0;495.0;23342.0;108.0;3;26;
17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;;;;;;9140;UNIVERSIDADE FEDERAL DE UBERLANDIA;1;1;1;MG;Uberlândia;21716.0;21365.0;351.0;5852.0;2597.0;1149.0;22865.0;97.0;4;17;
