CO_IES;GRUPO;NO_IES_SUPORTE;ABA;MOTIVO_PROVAVEL
30045;YDUQS;FACULDADE ESTÁCIO DE SAQUAREMA;YDUQS;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
25764;Vitru;Faculdade Leonardo da Vinci de Jacobina;VITRU;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
22095;Vitru;FACULDADE CESUMAR DE CAMPO GRANDE - FACCESUMAR;VITRU;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
26201;Vitru;Faculdade Politécnica de Corumbá;VITRU;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
25763;Vitru;Faculdade Leonardo da Vinci de Belo Horizonte;VITRU;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
30403;YDUQS;FACULDADE ESTÁCIO DE SANTOS;YDUQS;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
30406;YDUQS;FACULDADE ESTÁCIO DA SERRA;YDUQS;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
26560;YDUQS;INSTITUTO DE EDUCAÇÃO MÉDICA;YDUQS;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
28321;YDUQS;FACULDADE DE MEDICINA UNIFAMETRO;YDUQS;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
30410;Cogna;FACULDADE ANHANGUERA UNOPAR DE BARRA DO CORDA;COGNA;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
30405;YDUQS;FACULDADE ESTÁCIO DE SÃO JOSÉ DOS CAMPOS;YDUQS;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
30428;YDUQS;FACULDADE ESTÁCIO DE GUARULHOS;YDUQS;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
30402;YDUQS;FACULDADE ESTÁCIO DE CAMPINAS;YDUQS;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
23251;Ânima;Instituto Universitário UNA de Itumbiara;ANIMA;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
23200;Ânima;Faculdade Unisul De Educação De Itajaí;ANIMA;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
18075;Ser Educacional;Faculdade UNINASSAU Jaboatão dos Guararapes;SER EDUCACIONAL;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
1910;Ser Educacional;Faculdade UNINASSAU Lauro de Freitas;SER EDUCACIONAL;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
30401;YDUQS;FACULDADE ESTÁCIO DE CONTAGEM;YDUQS;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
23897;Cogna;FACULDADE ANHANGUERA DE CARUARU;COGNA;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
26902;Cogna;Faculdade de Medicina Uniderp de Dourados;COGNA;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
30404;YDUQS;FACULDADE ESTÁCIO DE PIRACICABA;YDUQS;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
25621;Afya;Faculdade Itpac Bragança - Itpac Bragança;AFYA;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
4460;Afya;Faculdade Dom Pedro Ii De Tecnologia - Fdp Ii Tec;AFYA;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
3270;Afya;Faculdade São Bento Da Bahia - Fsbb;AFYA;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
25521;Afya;Itpac Cametá;AFYA;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
2275;Afya;Faculdade Santo Agostinho - Fasamoc;AFYA;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
21957;Vitru;Faculdade Metropolitana de Lages – FAMELAGES;VITRU;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
25788;Vitru;Faculdade Leonardo da Vinci de São Gonçalo;VITRU;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
26202;Vitru;Faculdade Leonardo da Vinci de Chapecó;VITRU;CO_IES ausente do Censo 2024 (IES extinta, incorporada ou codigo alterado)
