CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;NO_UF;CO_UF;NO_REGIAO;NO_MESORREGIAO;NO_MICRORREGIAO;LATITUDE;LONGITUDE
1100015;Alta Floresta D'Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Cacoal;-12.470277;-62.274553
1100023;Ariquemes;RO;Rondônia;11;Norte;Leste Rondoniense;Ariquemes;-9.951874;-62.957184
1100031;Cabixi;RO;Rondônia;11;Norte;Leste Rondoniense;Colorado do Oeste;-13.474883;-60.639975
1100049;Cacoal;RO;Rondônia;11;Norte;Leste Rondoniense;Cacoal;-11.301340;-61.324725
1100056;Cerejeiras;RO;Rondônia;11;Norte;Leste Rondoniense;Colorado do Oeste;-13.203531;-61.260884
1100064;Colorado do Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Colorado do Oeste;-13.159160;-60.550112
1100072;Corumbiara;RO;Rondônia;11;Norte;Leste Rondoniense;Colorado do Oeste;-12.926720;-61.091600
1100080;Costa Marques;RO;Rondônia;11;Norte;Madeira-Guaporé;Guajará-Mirim;-12.147263;-64.058780
1100098;Espigão D'Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Cacoal;-11.351187;-60.784834
1100106;Guajará-Mirim;RO;Rondônia;11;Norte;Madeira-Guaporé;Guajará-Mirim;-11.305649;-64.537545
1100114;Jaru;RO;Rondônia;11;Norte;Leste Rondoniense;Ji-Paraná;-10.592436;-62.584860
1100122;Ji-Paraná;RO;Rondônia;11;Norte;Leste Rondoniense;Ji-Paraná;-10.462159;-61.757302
1100130;Machadinho D'Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Ariquemes;-9.204183;-62.010418
1100148;Nova Brasilândia D'Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Alvorada D'Oeste;-11.643106;-62.280188
1100155;Ouro Preto do Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Ji-Paraná;-10.610571;-62.172548
1100189;Pimenta Bueno;RO;Rondônia;11;Norte;Leste Rondoniense;Vilhena;-11.894389;-60.830471
1100205;Porto Velho;RO;Rondônia;11;Norte;Madeira-Guaporé;Porto Velho;-9.153587;-64.306634
1100254;Presidente Médici;RO;Rondônia;11;Norte;Leste Rondoniense;Ji-Paraná;-11.166337;-61.877711
1100262;Rio Crespo;RO;Rondônia;11;Norte;Leste Rondoniense;Ariquemes;-9.645157;-62.790126
1100288;Rolim de Moura;RO;Rondônia;11;Norte;Leste Rondoniense;Cacoal;-11.732653;-61.771764
1100296;Santa Luzia D'Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Cacoal;-12.026782;-61.701007
1100304;Vilhena;RO;Rondônia;11;Norte;Leste Rondoniense;Vilhena;-12.095537;-60.248403
1100320;São Miguel do Guaporé;RO;Rondônia;11;Norte;Leste Rondoniense;Alvorada D'Oeste;-11.615107;-62.983022
1100338;Nova Mamoré;RO;Rondônia;11;Norte;Madeira-Guaporé;Porto Velho;-10.382097;-64.629148
1100346;Alvorada D'Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Alvorada D'Oeste;-11.311380;-62.544657
1100379;Alto Alegre dos Parecis;RO;Rondônia;11;Norte;Leste Rondoniense;Cacoal;-12.592965;-61.880456
1100403;Alto Paraíso;RO;Rondônia;11;Norte;Leste Rondoniense;Ariquemes;-9.649610;-63.394115
1100452;Buritis;RO;Rondônia;11;Norte;Madeira-Guaporé;Porto Velho;-10.052175;-63.941179
1100502;Novo Horizonte do Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Cacoal;-11.681012;-62.082961
1100601;Cacaulândia;RO;Rondônia;11;Norte;Leste Rondoniense;Ariquemes;-10.331555;-62.987279
1100700;Campo Novo de Rondônia;RO;Rondônia;11;Norte;Madeira-Guaporé;Porto Velho;-10.485034;-63.799599
1100809;Candeias do Jamari;RO;Rondônia;11;Norte;Madeira-Guaporé;Porto Velho;-8.887083;-63.325831
1100908;Castanheiras;RO;Rondônia;11;Norte;Leste Rondoniense;Cacoal;-11.470807;-61.880038
1100924;Chupinguaia;RO;Rondônia;11;Norte;Leste Rondoniense;Vilhena;-12.537345;-60.898372
1100940;Cujubim;RO;Rondônia;11;Norte;Madeira-Guaporé;Porto Velho;-9.171031;-62.565265
1101005;Governador Jorge Teixeira;RO;Rondônia;11;Norte;Leste Rondoniense;Ji-Paraná;-10.748048;-63.184109
1101104;Itapuã do Oeste;RO;Rondônia;11;Norte;Madeira-Guaporé;Porto Velho;-9.170273;-63.044875
1101203;Ministro Andreazza;RO;Rondônia;11;Norte;Leste Rondoniense;Cacoal;-11.160303;-61.568988
1101302;Mirante da Serra;RO;Rondônia;11;Norte;Leste Rondoniense;Ji-Paraná;-11.076910;-62.847997
1101401;Monte Negro;RO;Rondônia;11;Norte;Leste Rondoniense;Ariquemes;-10.210787;-63.372302
1101435;Nova União;RO;Rondônia;11;Norte;Leste Rondoniense;Ji-Paraná;-10.889343;-62.532351
1101450;Parecis;RO;Rondônia;11;Norte;Leste Rondoniense;Vilhena;-12.262561;-61.415443
1101468;Pimenteiras do Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Colorado do Oeste;-13.173969;-61.544912
1101476;Primavera de Rondônia;RO;Rondônia;11;Norte;Leste Rondoniense;Vilhena;-11.878743;-61.315391
1101484;São Felipe D'Oeste;RO;Rondônia;11;Norte;Leste Rondoniense;Vilhena;-11.905277;-61.467142
1101492;São Francisco do Guaporé;RO;Rondônia;11;Norte;Madeira-Guaporé;Guajará-Mirim;-12.368333;-63.122214
