co_ies;ies_censo;grupo;uf_censo;co_mantenedora;mantenedora;cnpj;natureza_juridica;ies_emec;sigla;endereco_sede;municipio;uf;organizacao;credenciamento;categoria;ci;ci_ead;igc;sinalizacoes;situacao
298;Universidade Pitágoras Unopar Anhanguera;Cogna;PR;14514;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;38.733.648/0001-40;Privada com fins lucrativos;Universidade Pitágoras Unopar Anhanguera (Unopar);Unopar;Rua Edwy Taques de Araújo - 900 - CEP: 86047-790 - Jardim Burle Marx;Londrina;PR;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;3;Unificação de Mantidas;Ativa
1472;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Vitru;SC;821;SOCIEDADE EDUCACIONAL LEONARDO DA VINCI LTDA;01.894.432/0001-56;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIASSELVI);UNIASSELVI;R Rua Doutor Pedrinho - 79 - CEP: 89082-262 - Rio Morto;Indaial;SC;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
1196;UNIVERSIDADE CESUMAR;Vitru;PR;19855;VITRU EDUCACAO S.A.;20.512.706/0001-40;Privada com fins lucrativos;UNIVERSIDADE CESUMAR (UNICESUMAR);UNICESUMAR;Avenida Guedner - 1610 - CEP: 87050-390 - Jardim Aclimação;Maringá;PR;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
163;UNIVERSIDADE ESTÁCIO DE SÁ;YDUQS;RJ;119;SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA;34.075.739/0001-84;Privada com fins lucrativos;UNIVERSIDADE ESTÁCIO DE SÁ (UNESA);UNESA;Av. das Américas - 4.200 - CEP: 22640-102 - Barra da Tijuca;Rio de Janeiro;RJ;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;3;Unificação de Mantidas;Ativa
1491;CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;PR;981;UNINTER EDUCACIONAL S/A;02.261.854/0001-57;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO INTERNACIONAL (UNINTER);UNINTER;Rua do Rosário - 147 - CEP: 80020-110 - Centro;Curitiba;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
322;UNIVERSIDADE PAULISTA;UNIP;SP;2415;ASSUPERO ENSINO SUPERIOR LTDA.;06.099.229/0001-01;Privada com fins lucrativos;UNIVERSIDADE PAULISTA (UNIP);UNIP;Avenida Torres de Oliveira - 330 - CEP: 05347-020 - Jaguaré;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;4;;3;;Ativa
221;UNIVERSIDADE CRUZEIRO DO SUL;Cruzeiro do Sul;SP;159;CRUZEIRO DO SUL EDUCACIONAL S.A.;62.984.091/0001-02;Privada com fins lucrativos;UNIVERSIDADE CRUZEIRO DO SUL (UNICSUL);UNICSUL;Avenida Doutor Ussiel Cirilo - 111 a 213 - CEP: 08060-070 - Vila Jacuí;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
316;UNIVERSIDADE NOVE DE JULHO;UNINOVE;SP;222;ASSOCIACAO EDUCACIONAL NOVE DE JULHO;43.374.768/0001-38;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;UNIVERSIDADE NOVE DE JULHO (UNINOVE);UNINOVE;Rua Vergueiro - 235 - CEP: 01504-001 - Liberdade;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
417;UNIVERSIDADE CIDADE DE SÃO PAULO;Cruzeiro do Sul;SP;290;SECID - SOCIEDADE EDUCACIONAL CIDADE DE SAO PAULO S.A.;43.395.177/0001-47;Privada com fins lucrativos;UNIVERSIDADE CIDADE DE SÃO PAULO (UNICID);UNICID;Rua Cesário Galero - 448/475 - CEP: 03071-000 - Tatuapé;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;Ser Educacional;PE;1847;SER EDUCACIONAL S.A.;04.986.320/0001-13;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU (UNINASSAU);UNINASSAU;Rua Guilherme Pinto - 114 - CEP: 52011-210 - Graças;Recife;PE;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
1270;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;YDUQS;SP;848;SOCIEDADE DE ENSINO SUPERIOR ESTACIO RIBEIRAO PRETO LTDA;07.195.358/0001-66;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO (ESTÁCIO RIBEIRÃO PRE);ESTÁCIO RIBEIRÃO PRE;Rua Abrahão Issa Halack, 980, Ribeirânia. - 980 - CEP: 14096-160 - Ribeirânia;Ribeirão Preto;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
1510;CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;YDUQS;SC;119;SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA;34.075.739/0001-84;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Avenida Leoberto Leal - 431 - CEP: 88117-001 - Barreiros;São José;SC;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
466;UNIVERSIDADE ANHEMBI MORUMBI;Ânima;SP;321;ISCP - SOCIEDADE EDUCACIONAL LTDA.;62.596.408/0001-25;Privada com fins lucrativos;UNIVERSIDADE ANHEMBI MORUMBI (UAM);UAM;Rua Dr. Almeida Lima - 1124 e 1134 - CEP: 03164-000 - Brás;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
4751;CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;PR;3040;CENTRO EDUCACIONAL FATECIE LTDA;07.724.708/0001-34;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO UNIFATECIE (UNIFATECIE);UNIFATECIE;Rodovia BR 376, Km 102 - 1000 - CEP: 87720-140 - GLEBA 01;Paranavaí;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
