tabela,n,secao,variavel,descricao,tipo,tamanho,categorias,observacao
cadastro_ies,,,Alteração de nomenclatura,,,,,
cadastro_ies,,,Variável nova,,,,,
cadastro_ies,,,Descontinuidade,,,,,
cadastro_ies,1,,NU_ANO_CENSO,Ano de referência do Censo da Educação Superior,Num,4,,
cadastro_ies,2,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,NO_REGIAO_IES,Nome da região geográfica da sede administrativa ou reitoria da IES,Char,20,,
cadastro_ies,3,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,CO_REGIAO_IES,Código da região geográfica da sede administrativa ou reitoria da IES,Num,2,,
cadastro_ies,4,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,NO_UF_IES,Nome da Unidade da Federação da sede administrativa ou reitoria da IES,Char,50,,
cadastro_ies,5,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,SG_UF_IES,Sigla da Unidade da Federação da sede administrativa ou reitoria da IES,Char,2,,
cadastro_ies,6,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,CO_UF_IES,Código da Unidade da Federação da sede administrativa ou reitoria da IES,Num,2,,
cadastro_ies,7,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,NO_MUNICIPIO_IES,Nome do Município da sede administrativa ou reitoria da IES,Char,150,,
cadastro_ies,8,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,CO_MUNICIPIO_IES,Código do Município da sede administrativa ou reitoria da IES,Num,7,,
cadastro_ies,9,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,IN_CAPITAL_IES,Informa se a sede administrativa ou reitoria da IES está localizada na capital da Unidade da Federação,Num,2,"0. Não
1. Sim",
cadastro_ies,10,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,NO_MESORREGIAO_IES,Nome da Mesorregião da sede administrativa ou reitoria da IES,Char,100,,
